Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1958.0,15 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Sweden,0.0,0.0,Wales
1958.0,15 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Brazil,2.0,0.0,Soviet Union
1958.0,15 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Germany FR,2.0,2.0,Northern Ireland
1958.0,15 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Hungary,4.0,0.0,Mexico
1958.0,15 Jun 1958 - 19:00 ,Group 2,Tunavallen,Paraguay,3.0,3.0,Yugoslavia
1958.0,15 Jun 1958 - 19:00 ,Group 2,Eyravallen,France,2.0,1.0,Scotland
1958.0,15 Jun 1958 - 19:00 ,Group 4,Ryavallen,England,2.0,2.0,Austria
1958.0,15 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Czechoslovakia,6.0,1.0,Argentina
1958.0,17 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Soviet Union,1.0,0.0,England
1958.0,17 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Northern Ireland,2.0,1.0,Czechoslovakia
1958.0,17 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Wales,2.0,1.0,Hungary
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Nya Ullevi,Brazil,1.0,0.0,Wales
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Malmo Stadion,Germany FR,1.0,0.0,Yugoslavia
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Rasunda Stadium,Sweden,2.0,0.0,Soviet Union
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Idrottsparken,France,4.0,0.0,Northern Ireland
1958.0,24 Jun 1958 - 19:00 ,Semi-finals,Nya Ullevi,Sweden,3.0,1.0,Germany FR
1958.0,24 Jun 1958 - 19:00 ,Semi-finals,Rasunda Stadium,Brazil,5.0,2.0,France
1958.0,28 Jun 1958 - 17:00 ,Match for third place,Nya Ullevi,France,6.0,3.0,Germany FR
1958.0,29 Jun 1958 - 15:00 ,Final,Rasunda Stadium,Brazil,5.0,2.0,Sweden
1962.0,30 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Uruguay,2.0,1.0,Colombia
1962.0,30 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Brazil,2.0,0.0,Mexico
1962.0,30 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Argentina,1.0,0.0,Bulgaria
1962.0,30 May 1962 - 15:00 ,Group 2,Nacional,Chile,3.0,1.0,Switzerland
1962.0,31 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Soviet Union,2.0,0.0,Yugoslavia
1962.0,31 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Czechoslovakia,1.0,0.0,Spain
1962.0,31 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Hungary,2.0,1.0,England
1962.0,31 May 1962 - 15:00 ,Group 2,Nacional,Germany FR,0.0,0.0,Italy
1962.0,02 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Yugoslavia,3.0,1.0,Uruguay
1962.0,02 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Brazil,0.0,0.0,Czechoslovakia
1962.0,02 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,England,3.0,1.0,Argentina
1962.0,02 Jun 1962 - 15:00 ,Group 2,Nacional,Chile,2.0,0.0,Italy
1962.0,03 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Soviet Union,4.0,4.0,Colombia
1962.0,03 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Spain,1.0,0.0,Mexico
1962.0,03 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Hungary,6.0,1.0,Bulgaria
1962.0,03 Jun 1962 - 15:00 ,Group 2,Nacional,Germany FR,2.0,1.0,Switzerland
1962.0,06 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Soviet Union,2.0,1.0,Uruguay
1962.0,06 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Brazil,2.0,1.0,Spain
1962.0,06 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Hungary,0.0,0.0,Argentina
